t,var_pred,cvar_pred,actual
252,-0.023491496220231056,-0.01825476624071598,-0.017602970778235815
253,-0.02014942839741707,-0.02407900243997574,-0.02064467655331063
254,-0.02287636511027813,-0.0390600711107254,0.02247711675090526
255,-0.023444930091500282,-0.028928490355610847,0.019418760658421116
256,-0.022868236526846886,-0.029276929795742035,-0.006853469271492079
257,-0.019087281078100204,-0.014551284722983837,0.029173416788070172
258,-0.011326982639729977,-0.013106503523886204,0.024222173087035313
259,-0.019229523837566376,-0.02979319728910923,-0.002774963434064196
260,-0.012894310988485813,-0.03808702901005745,-0.06380209861399314
261,-0.02314944937825203,-0.05002882331609726,-0.016363779763300036
262,-0.019026773050427437,-0.029924528673291206,-0.03539091677149253
263,-0.031901419162750244,-0.03881988301873207,-0.010203021154655566
264,-0.026672063395380974,-0.055884987115859985,0.0323849268374807
265,-0.038354333490133286,-0.05103394389152527,-0.03539497176044313
266,-0.03753253072500229,-0.04970620572566986,0.032976044019506844
267,-0.024209143593907356,-0.02825118973851204,0.006255912944324117
268,-0.039217814803123474,-0.05637854337692261,-0.01758032556762567
269,-0.03653281554579735,-0.05166212469339371,-0.032877504046246994
270,-0.028800882399082184,-0.05786658078432083,0.002822960224243932
271,-0.008688458241522312,-0.06365437060594559,-0.01307426316382555
272,-0.0273525919765234,-0.045850224792957306,0.03405897977599281
273,-0.02251756563782692,-0.027569875121116638,0.027808938958505707
274,-0.025795891880989075,-0.06290897727012634,-0.009006943491818803
275,-0.023489613085985184,-0.045885566622018814,0.017846526795929192
276,-0.040290988981723785,-0.05502928048372269,-0.038345956874768494
277,-0.03792916610836983,-0.06027328595519066,0.0062156204856254945
278,-0.039326440542936325,-0.04816257581114769,0.0068553402659932376
279,-0.03623000159859657,-0.05209766700863838,-0.008239196757802842
280,-0.027063755318522453,-0.042023174464702606,0.02242610979455669
281,-0.02366001345217228,-0.02422211691737175,0.026654295162721622
282,-0.02258118987083435,-0.023524899035692215,0.0049877453428987
283,-0.02242296002805233,-0.024592192843556404,-0.0030033294140615428
284,-0.024492133408784866,-0.024466397240757942,-0.011222425782679828
285,-0.02313157543540001,-0.021009042859077454,0.018934399141738875
286,-0.021391931921243668,-0.02571767382323742,-0.03445318502293645
287,-0.03290330991148949,-0.03349296376109123,-0.027764730613045917
288,-0.03413550555706024,-0.033167436718940735,0.0020372312647437417
289,-0.029603490605950356,-0.03409299626946449,0.004743588200394986
290,-0.02840539813041687,-0.03322473540902138,-0.019147186713807076
291,-0.025779837742447853,-0.033398404717445374,-0.0009323166090364684
292,-0.028465034440159798,-0.03306065872311592,0.010406941376308907
293,-0.02927989698946476,-0.03132212907075882,0.008345137424263965
294,-0.025582417845726013,-0.02842189185321331,-0.00792896979194595
295,-0.025272419676184654,-0.043914053589105606,-0.03275236150716165
296,-0.02869575470685959,-0.03550761938095093,-0.019709981200865638
297,-0.02625432424247265,-0.03406960889697075,0.008656766591065127
298,-0.03514469414949417,-0.039498329162597656,-0.026237166850943634
299,-0.030884338542819023,-0.03729868307709694,0.016722039263046325
300,-0.03453719988465309,-0.04155883565545082,-0.018100739416035568
301,-0.0285771656781435,-0.05249772220849991,0.017069751373213142
302,-0.03483596816658974,-0.04305463284254074,0.038155564263315164
303,-0.03125636279582977,-0.024674585089087486,0.02110512248787214
304,-0.031174633651971817,-0.03773905336856842,-0.007154907572551497
305,-0.02922632545232773,-0.030371684581041336,0.013418426941530072
306,-0.025818832218647003,-0.023467104882001877,0.004444950148910318
307,-0.00851911585777998,-0.029911765828728676,-3.5571770333755804e-05
308,-0.024430198594927788,-0.03826871141791344,0.04624140672188046
309,-0.0217952411621809,-0.021198388189077377,-0.00040824387386155725
310,-0.021137427538633347,-0.022474445402622223,0.01541471033603829
311,-0.02222689613699913,-0.014351576566696167,0.032277849355218144
312,-0.021376004442572594,-0.030298087745904922,0.008528667167411222
313,-0.02291037328541279,-0.03708263486623764,-0.04288624735610465
314,-0.025374004617333412,-0.032156191766262054,0.014269065715578424
315,-0.020473644137382507,-0.02119024656713009,0.012957985125214675
316,-0.019839433953166008,-0.022498611360788345,0.04806868124685913
317,-0.023475281894207,-0.04223544895648956,0.014085734669678393
318,0.030883068218827248,-0.0037806048057973385,0.026169899758864138
319,-0.02257046476006508,-0.02508513815701008,-0.0002692303213719887
320,-0.022247206419706345,-0.02129290997982025,0.012060267655323522
321,-0.022143257781863213,-0.023483648896217346,0.0295794105677314
322,-0.01493897382169962,-0.04196978360414505,-0.03345971859157479
323,-0.02739848382771015,-0.027272500097751617,0.004412243809254642
324,-0.026768913492560387,-0.04111921042203903,-0.0021592272494664116
325,-0.027671825140714645,-0.038217008113861084,-0.003500255285772585
326,-0.026959748938679695,-0.04121820256114006,-0.010454721991796463
327,-0.027797475457191467,-0.024975737556815147,0.027659418670333946
328,-0.02957938425242901,-0.0250703077763319,0.016525964450570363
329,-0.021473577246069908,-0.033805787563323975,-0.003093193848489998
330,-0.028295347467064857,-0.02300195023417473,-0.031514430647232416
331,-0.03150494769215584,-0.017132718116044998,0.03265209771732386
332,-0.02682701125741005,-0.028966780751943588,0.05053019692695566
333,-0.030566265806555748,-0.03330701217055321,0.002159653773205986
334,-0.027633018791675568,-0.025146545842289925,-0.010114016944416868
335,-0.02924322709441185,-0.023513535037636757,0.016103852322857194
336,-0.019968971610069275,-0.030682798475027084,-0.017304583283461062
337,-0.029173875227570534,-0.03209283947944641,-0.018424797007042516
338,-0.02905251644551754,-0.03233025595545769,0.03496908027085117
339,-0.028606729581952095,-0.033925559371709824,-0.012533762676350726
340,-0.032880354672670364,-0.02393370307981968,-0.011565154181398902
341,-0.03174286335706711,-0.030492763966321945,0.021528395483821135
342,-0.018301906064152718,0.016680076718330383,0.16334315490680712
343,0.09314321726560593,-0.04253791272640228,-0.001087693816303243
344,-0.02199234999716282,-0.0379035547375679,-0.011212550157980046
345,-0.021320313215255737,-0.030272169038653374,-0.014007658268312618
346,-0.01979563944041729,-0.03311832249164581,0.00653305468823182
347,-0.020271901041269302,-0.02778511494398117,-0.00022420711024016018
348,-0.02336001582443714,-0.033878784626722336,-0.02893330697304976
349,0.03821408003568649,-0.028854405507445335,0.03797772160667217
350,-0.011833337135612965,-0.027785537764430046,0.014176303927149506
351,-0.013633635826408863,-0.03023134171962738,0.025462212664147377
352,-0.011943286284804344,-0.03386577591300011,0.018031685456947947
353,-0.01154843159019947,-0.022118212655186653,-0.0010270183934249677
354,-0.010159846395254135,-0.02766101062297821,0.0012036718075930097
355,-0.018260471522808075,-0.030749520286917686,0.009216388147472976
356,-0.010252266190946102,-0.029812831431627274,0.003111509146328134
357,-0.011138408444821835,-0.022044135257601738,-0.03482740495188661
358,-0.026498960331082344,-0.033652570098638535,0.02695905690062911
359,-0.008695615455508232,0.008151810616254807,0.022659569685072888
360,-0.008875906467437744,-0.02198665216565132,-0.0037770191773879485
361,0.006627707276493311,-0.03602757677435875,-0.011777536315623243
362,-0.017996670678257942,-0.02354196459054947,-0.02192555427681002
363,-0.021913547068834305,-0.029549481347203255,0.007509601249351286
364,-0.024664221331477165,-0.027713291347026825,-0.03643648913774111
365,-0.024765620008111,-0.03384746238589287,-0.02434029983501015
366,-0.03318851813673973,-0.03289911150932312,0.01452452744843538
367,-0.0323396660387516,-0.03412355110049248,-0.018330486696030126
368,-0.02610703930258751,-0.03555047884583473,0.0027704930922153406
369,-0.03468126803636551,-0.035726260393857956,0.010761336472574526
370,-0.028075940907001495,-0.03226873278617859,-0.011974669943257217
371,-0.029042372480034828,-0.03670788183808327,0.03102128113329754
372,-0.017305003479123116,-0.03380512818694115,0.003524850073885381
373,-0.029903795570135117,-0.0314147025346756,-0.02300251598093086
374,-0.02870251052081585,-0.03239622339606285,0.011538544301859693
375,-0.029283860698342323,-0.024696892127394676,0.001829787400255588
376,-0.03376855328679085,-0.03667094558477402,0.01718930778033886
377,-0.02937224879860878,-0.03259962424635887,-0.06021639695929826
378,-0.038490165024995804,-0.03569256514310837,0.008711900223230998
379,-0.01719116047024727,-0.03735341876745224,-0.02976895555269576
380,-0.0420723482966423,-0.0402040109038353,0.0005024722042830826
381,-0.04132302477955818,-0.03678987920284271,-0.019060930758841594
382,-0.03619161248207092,-0.04462980851531029,-0.007483123607038943
383,-0.04269267991185188,-0.03599000349640846,0.03397784123808458
384,-0.03741414099931717,-0.03460557013750076,0.029265494743313428
385,-0.031365569680929184,-0.033630769699811935,-0.000496189612060596
386,-0.03150598332285881,-0.03626426309347153,0.03336225132807462
387,-0.01161415595561266,-0.0302501879632473,0.028682136001716218
388,-0.021099288016557693,-0.041962843388319016,-0.0073902038949700795
389,-0.026862306520342827,-0.030310815200209618,-0.015832580454101436
390,-0.025273319333791733,-0.03333411365747452,0.02798680842696153
391,-0.023041561245918274,-0.02560131810605526,0.009854529260629578
392,-0.02491600811481476,-0.033591385930776596,0.0008204927048645212
393,-0.017328476533293724,-0.026983624324202538,-0.0017949541001751161
394,-0.005845481995493174,-0.028325574472546577,-0.011148458005061479
395,-0.019086936488747597,-0.03709998354315758,0.012757578201762492
396,-0.012623884715139866,-0.03495350480079651,0.014118545371051477
397,-0.011313121765851974,-0.01807038113474846,0.016036053719832168
398,-0.0018840773263946176,-0.022938022390007973,-0.0065801412190565145
399,0.00611501419916749,-0.01825159601867199,0.002912089972889983
400,0.010971703566610813,-0.022550072520971298,-0.02341788078569043
401,-0.020905787125229836,-0.02102435566484928,-0.022963675199383395
402,0.0019188013393431902,-0.011518603190779686,-0.009810540776643808
403,-0.0015000600833445787,-0.019930846989154816,0.007565463251027612
404,0.0012547314399853349,-0.02602027729153633,-0.0031023275367038786
405,0.0036384991835802794,-0.031470511108636856,0.03255459895211175
406,0.003946962766349316,-0.027908537536859512,-0.005432797254385226
407,-0.014681348577141762,-0.017027003690600395,-0.042859141981096416
408,-0.014020944014191628,-0.03627309948205948,0.016051346467611378
409,-0.014132200740277767,-0.02102314494550228,-0.014639322704762736
410,-0.0034363248851150274,-0.005934576503932476,0.013416366323839432
411,0.014944096095860004,-0.023176344111561775,0.016777840055069108
412,-0.0011985832825303078,-0.022652728483080864,0.024860629830958582
413,-0.004738674033433199,-0.018920501694083214,0.0035583839447752407
414,-0.008123577572405338,-0.03418690711259842,0.004603763843200937
415,-0.014177735894918442,-0.03721753880381584,0.0015690169087143328
416,-0.0007821582839824259,-0.0068679735995829105,0.009373173372637477
417,0.00927000492811203,-0.023082468658685684,-0.014955917162028142
418,-0.014955916441977024,-0.01607341319322586,-0.007913946461732439
419,-0.007913947105407715,-0.016182217746973038,-0.0036821683286419565
420,-0.008199580013751984,-0.009147661738097668,-0.0032167934640254477
421,-0.0030050305649638176,0.0061920927837491035,0.018730452400324605
422,-0.005589879583567381,-0.009016859345138073,0.02166348118377279
423,-0.001189101138152182,-0.004345905035734177,0.004662033523602062
424,-0.002728366991505027,-0.01262536458671093,0.0018711996727566542
425,-0.004148153588175774,-0.016187258064746857,0.0010691488452491261
426,-0.0033037238754332066,-0.014818049967288971,0.002103836457989509
427,0.0008096204255707562,-0.019745858386158943,-0.004347253412091281
428,-0.004347254056483507,-0.020887592807412148,0.017215677346227053
429,-0.001746256835758686,-0.006237190682440996,0.013461409240998598
430,-0.0045309667475521564,-0.004058063495904207,0.0014409391002453732
431,-0.0043472531251609325,-0.005442751571536064,0.0021123369109170504
432,0.002121318830177188,-0.00013210144243203104,0.008833448085396973
433,0.003858450334519148,-0.015415871515870094,-0.010059993458349821
434,-0.004006460774689913,-0.005385111086070538,0.0033344297203069546
435,-0.008477641269564629,-0.004431613255292177,-0.005550184550685771
436,-0.005548902787268162,0.002229255624115467,0.009612930180802755
437,0.008767601102590561,-0.009624587371945381,0.01528156257568173
438,0.010770418681204319,0.007676150184124708,-0.0001082470779508545
439,0.009607238695025444,-0.001365541247650981,-0.01590256308364279
440,-0.01590666174888611,-0.0132990637794137,0.004825185681401467
441,0.017342476174235344,-0.006661440245807171,-0.00831908898916255
