t,var_pred,cvar_pred,actual
252,-0.0487799062393459,-0.06044641243050705,-0.017602970778235815
253,-0.04889530451445894,-0.06056317379476336,-0.02064467655331063
254,-0.0489263841716882,-0.06059803811317179,0.02247711675090526
255,-0.048905585404529626,-0.060596346805315886,0.019418760658421116
256,-0.04848784205831373,-0.06013822010461604,-0.006853469271492079
257,-0.04849186991740967,-0.060142435747001906,0.029173416788070172
258,-0.04849807552329289,-0.060178074955581605,0.024222173087035313
259,-0.04849261248112958,-0.06019295529639592,-0.002774963434064196
260,-0.04846700348013605,-0.060120534135491725,-0.06380209861399314
261,-0.04917736618025907,-0.060932714803588514,-0.016363779763300036
262,-0.04926765161408944,-0.061027656564458625,-0.03539091677149253
263,-0.049527208443930756,-0.061317772225430826,-0.010203021154655566
264,-0.04959276292420853,-0.06137997516115018,0.0323849268374807
265,-0.04961176850508604,-0.061435512223286366,-0.03539497176044313
266,-0.04988557199066571,-0.06173745704737794,0.032976044019506844
267,-0.04990317983527982,-0.061792919725797195,0.006255912944324117
268,-0.0499102081499171,-0.06179253725905044,-0.01758032556762567
269,-0.05000504322242011,-0.061892970627601476,-0.032877504046246994
270,-0.05023893914185646,-0.06215173803007338,0.002822960224243932
271,-0.05022198677729489,-0.06213586926524038,-0.01307426316382555
272,-0.05018485770966869,-0.062094791420786506,0.03405897977599281
273,-0.05022457177712219,-0.06217188877972982,0.027808938958505707
274,-0.05022569598363601,-0.0622002439355485,-0.009006943491818803
275,-0.050140711839192456,-0.06210635221027115,0.017846526795929192
276,-0.04998161744158444,-0.06194808432519756,-0.038345956874768494
277,-0.050261195968326344,-0.06226386768154054,0.0062156204856254945
278,-0.04998117987034818,-0.06195506357428127,0.0068553402659932376
279,-0.048704745383011686,-0.06045305730786905,-0.008239196757802842
280,-0.04809389601797583,-0.05974047479642241,0.02242610979455669
281,-0.04785592647266115,-0.059403951552842824,0.026654295162721622
282,-0.047604293581476345,-0.05914873928704743,0.0049877453428987
283,-0.04728347135072071,-0.058683694059321515,-0.0030033294140615428
284,-0.04717474101851612,-0.05856498300095876,-0.011222425782679828
285,-0.04723212846504031,-0.0586243561090111,0.018934399141738875
286,-0.047080140056677294,-0.05847468884472596,-0.03445318502293645
287,-0.0473158059724154,-0.05874139014675104,-0.027764730613045917
288,-0.04747662013532751,-0.05888039017934091,0.0020372312647437417
289,-0.04747271705967376,-0.058850196245319536,0.004743588200394986
290,-0.04747036907769174,-0.0588482767022849,-0.019147186713807076
291,-0.047371689055409165,-0.05873533159029534,-0.0009323166090364684
292,-0.04709596589985504,-0.05842513045882212,0.010406941376308907
293,-0.047064652370663186,-0.058398889776280306,0.008345137424263965
294,-0.046528210221147615,-0.05778781175081431,-0.00792896979194595
295,-0.04654794983305615,-0.05780847204794783,-0.03275236150716165
296,-0.046810713163650895,-0.05808614474754444,-0.019709981200865638
297,-0.04675205997558504,-0.057938470286582354,0.008656766591065127
298,-0.04675101684048667,-0.05792652281375998,-0.026237166850943634
299,-0.0469020507844466,-0.05809443070582941,0.016722039263046325
300,-0.046883562401936085,-0.05808735819879748,-0.018100739416035568
301,-0.046831900605147365,-0.058028738111048965,0.017069751373213142
302,-0.04682850679905354,-0.058034411679371546,0.038155564263315164
303,-0.04679557646831135,-0.058047441860513874,0.02110512248787214
304,-0.04680036230182507,-0.058057131123831734,-0.007154907572551497
305,-0.04685375028183776,-0.05810351517098994,0.013418426941530072
306,-0.04682953083473412,-0.0580869857335395,0.004444950148910318
307,-0.04682641062271193,-0.05808436330976917,-3.5571770333755804e-05
308,-0.046770421890928025,-0.0580259341289619,0.04624140672188046
309,-0.04634701565081493,-0.057595186179274206,-0.00040824387386155725
310,-0.04624597967782375,-0.05748629874990612,0.01541471033603829
311,-0.04624523992756706,-0.05748913553647812,0.032277849355218144
312,-0.046033448656913015,-0.05728724152971038,0.008528667167411222
313,-0.04602896225552281,-0.05728414687168588,-0.04288624735610465
314,-0.04642806026879153,-0.057727736226516876,0.014269065715578424
315,-0.04640682115604938,-0.057714223117959526,0.012957985125214675
316,-0.04586463787484968,-0.05710012089966883,0.04806868124685913
317,-0.04598328857341509,-0.05727107399437729,0.014085734669678393
318,-0.04543202451831,-0.0566468853378305,0.026169899758864138
319,-0.045438241994895476,-0.056674392607018335,-0.0002692303213719887
320,-0.04546243031750604,-0.05669538827967172,0.012060267655323522
